Time,rwl_wheel_direction,rwl_wheel_speed,rwl_est_frict_torque,rwl_frict_coeff,rwl_meas_ang_mom
10804,0,0,0,0,0
14408,0,0,0,0,0
18008,0,0,0,0,0
21608,0,0,0,0,0
30956,0,0,0,0,0
30964,0,0,0,0,0
32408,0,0,0,0,0
36008,0,0.00710540971938623,0.0178127382888504,0.00146899955321011,0.00713051948110427
39606,0,0.0326721946357481,0.0798951642551637,0.0065079985739472,0.0327496449553191
43208,0,0.081513228048385,0.195120269710257,0.0156670901886808,0.0816532673570382
46808,0,0.176004135675589,0.417507036980634,0.0332164697985094,0.1762916632332
50408,0,0.258752568496474,0.595575247998618,0.046269620842361,0.25894441551306
54006,0,0.311028787026921,0.697664055791116,0.0525978109668746,0.311204002639359
57608,0,0.3333793427108,0.733843550480616,0.0553590493957782,0.333454909778011
61208,0,0.321855567778454,0.704624639217248,0.0569352068338414,0.32185276609757
64808,0,0.285915735918812,0.634936885820412,0.0596464639839174,0.285866092759235
68406,0,0.20316564415607,0.488251959460827,0.0661615723485702,0.203038179230236
72008,0,0.15874388538881,0.414280700195148,0.0700415640969712,0.15867386776786
75608,0,0.135112972630446,0.378647824529004,0.0723422696870787,0.135080120651127
79208,0,0.130279433179994,0.375244687795786,0.0728582251024899,0.130270791372466
82806,0,0.136431189778405,0.391157851232466,0.0724445569181816,0.136440814190342
86408,0,0.144863291306541,0.411457520984135,0.0718177794477552,0.144883923676259
90008,0,0.157329019019047,0.439029870918872,0.0706406255415949,0.157365797524134
93608,0,0.175220531978195,0.475754638050517,0.069050199017954,0.175259984611248
97206,0,0.200293683423584,0.522981692947557,0.0668549738977793,0.200333580182328
100808,0,0.233760995671849,0.582246948625028,0.0639628208841868,0.233796622393492
104408,0,0.275086203529917,0.651084435031898,0.0606034188605464,0.275114057033753
108008,0,0.293554447407918,0.652890699605769,0.0599494173189667,0.284378214501182
111606,0,0.292899397263856,0.5611124388625,0.0619381436335619,0.2495168927334
115207,0,0.271500546325766,0.358182799241419,0.0654435994022691,0.163780013656868
118807,1,0.226256962218222,0.00434584355879213,0.0750560906416464,0.0112933618061857
122407,1,0.228033675390269,0.145085533686226,0.0720224380190826,0.0504270739986456
126006,1,0.236609272470608,0.0768266959110359,0.0722353561767772,0.0180535284624282
129607,0,0.274778816706248,0.275632294848711,0.0747981626526475,0.137217614017925
133207,0,0.3090363148885,0.524545913716331,0.0646435200484993,0.245566993382828
136807,0,0.30936608918107,0.636639702626602,0.0619300555020896,0.292201698925979
140404,0,0.282393052382117,0.627663346462067,0.0611634684316249,0.281393180765649
144004,0,0.203424841763735,0.490747594518899,0.0656538334643953,0.203268966876171
147604,0,0.16185602120366,0.418958492415775,0.0688330418657774,0.161784278052153
151204,0,0.141596002387415,0.388528685318742,0.0705439540814084,0.141552268295846
154804,0,0.140304722172264,0.391956477077411,0.070717574293312,0.140294844063809
158404,0,0.14917011185887,0.413235576909013,0.0700993529533743,0.149173570974906
162004,0,0.158672218066845,0.434285826699464,0.0692577830670341,0.158681094337052
165604,0,0.168074707102988,0.453988505666831,0.0683411874469874,0.168087010471189
169204,0,0.177242538459667,0.47298946982623,0.0675061053191412,0.177259592359863
172808,0,0.186547414350917,0.490527375228384,0.0664997351275096,0.186570289180358
176408,0,0.195663236504439,0.50650974615693,0.0654612631937348,0.195676835273681
180008,0,0.204671805761318,0.52112533827509,0.0643786941078504,0.204689206079775
183606,0,0.213573921068024,0.534933744003235,0.0633242623749079,0.213602338588684
187208,0,0.222349119826111,0.547957029343137,0.0623044324194222,0.2224141754737
190808,0,0.231047440168438,0.560238656707335,0.0612985985301094,0.231154122251884
194408,0,0.239619561115086,0.571657998892066,0.0603033465829329,0.239819760680805
198006,0,0.248268202105968,0.584514359769451,0.0595028760957999,0.248391355447582
201608,0,0.25680162528686,0.596810159838355,0.0587275602228958,0.256884731824619
205208,0,0.265231421135038,0.609529289632787,0.0580736640059373,0.265265690952409
208808,0,0.273554910717058,0.620989476621673,0.0573682954648403,0.273570223423997
212406,0,0.281781599242678,0.631602350193967,0.05664975765697,0.281794978827737
216008,0,0.289985581221643,0.641190909755018,0.0558863550750605,0.289990597795173
219608,0,0.297958103431843,0.648961498680502,0.0550478117041246,0.297964768151874
223208,0,0.305402770169781,0.656251347187054,0.0543029285226205,0.305403226757907
226806,0,0.311944437165061,0.662783984997776,0.0536842776745555,0.311946398807721
230408,0,0.31648809769841,0.666612955680496,0.0532167893611234,0.316487612676451
234008,0,0.320067233854708,0.669452421156615,0.0528432029597709,0.320067955338745
237608,0,0.32302651064544,0.671559961432187,0.0525251736351626,0.323024311335622
241206,0,0.325751921606093,0.673647672788702,0.0522463901461347,0.32574052960454
244808,0,0.328502790659773,0.67608435948977,0.0519917617352351,0.328482154952169
249824,0,0.33198000687833,0.679406927355002,0.0516990624260779,0.331955050611252
252008,0,0.335961394313408,0.683744069343133,0.0514038593390341,0.335932549119894
255606,0,0.341892308791497,0.691114433600037,0.0510651330499728,0.341885549616125
259208,0,0.348826232144111,0.699929578346066,0.0506930430231203,0.348831291994465
262808,0,0.356358794041546,0.709455849383005,0.0503006517566252,0.356374694352205
266408,0,0.364139269216948,0.719083713531555,0.0498956522714798,0.364154254525547
270006,0,0.371909630650814,0.728472353260592,0.0494909798276873,0.371923403140623
273608,0,0.379619405769034,0.737781574198725,0.0491050091759327,0.379637336539101
277208,0,0.387267373749175,0.746696835988945,0.0487165686226448,0.387286435601473
280808,0,0.394849670676608,0.755702243548217,0.0483571188903913,0.394868227337452
